"as_of_date","days_delinquent_old","days_delinquent_new","new_outstanding_principal_balance","initial_loan_amount","fico","sales_channel__c","type","current_collection_method","term","lender_payoff","average_bank_balance__c","last_cleared_payment_date"
2012-11-01,35,54,7345.1,10000,584,"Direct","Loan - New Customer","ACH Pull",6,0,3021.65,2012-09-12
2012-11-01,7,17,8368.72,20000,643,"FAP: Managed Application Program","Loan - New Customer","ACH Pull",6,0,6648.67,2012-10-25
2012-11-01,10,10,15859.52,50000,660,"Direct","Loan - Renewal","ACH Pull",6,0,16690.83,2012-11-01
2012-11-01,2,3,28530.58,35000,781,"FAP: Managed Application Program","Loan - New Customer","ACH Pull",6,0,5878.92,2012-11-01
2012-11-01,44,63,252.86,15000,626,"FAP: Managed Application Program","Loan - New Customer","ACH Pull",6,0,3439.69,2012-10-01
2012-11-01,9,8,28165.2,45000,616,"FAP: Managed Application Program","Loan - New Customer","ACH Pull",12,0,8942.5,2012-11-01
2012-11-01,4,4,8875.25,35000,685,"FAP: Managed Application Program","Loan - Renewal","ACH Pull",6,0,17631.78,2012-11-01
2012-11-01,58,77,35000,35000,806,"FAP: Managed Application Program","Loan - New Customer","ACH Pull",9,0,11555.69,2012-08-09
2012-11-01,33,52,62574.81,65000,607,"FAP: Managed Application Program","Loan - Renewal","ACH Pull",12,0,14249.78,2012-09-14
2012-11-01,29,48,9103.89,15000,568,"Referral","Loan - New Customer","ACH Pull",6,0,18058.78,2012-09-20
2012-11-01,103,122,6000,6000,603,"FAP: Managed Application Program","Loan - New Customer","ACH Pull",6,0,1594.88,2012-06-07
2012-11-01,2,13,26077.13,35000,640,"FAP: Managed Application Program","Loan - New Customer","ACH Pull",6,0,2818.15,2012-11-01
2012-11-01,3,13,84317.84,100000,708,"FAP: Managed Application Program","Loan - New Customer","ACH Pull",6,0,32339.93,2012-11-01
2012-11-01,1,1,21354.44,25000,655,"FAP: Managed Application Program","Loan - New Customer","Transfer Account Vendors",18,0,3168.16,2012-11-01
2012-11-01,61,80,21863.34,35000,546,"FAP: Managed Application Program","Loan - New Customer","ACH Pull",6,0,18037.56,2012-08-07
2012-11-01,40,59,19888.64,20000,688,"Direct","Loan - Renewal","ACH Pull",6,0,4297.6,2012-09-05
2012-11-01,1,13,25000,25000,585,"FAP: Managed Application Program","Loan - Renewal","ACH Pull",6,15537.9,6705.31,2012-11-01
2012-11-01,43,62,45215.93,75000,596,"FAP: Managed Application Program","Loan - New Customer","ACH Pull",18,0,15762.35,2012-09-10
2012-11-01,61,80,22174.85,25000,644,"Direct","Loan - New Customer","ACH Pull",6,0,7115.33,2012-07-18
2012-11-01,3,3,17816.44,30000,616,"FAP: Managed Application Program","Loan - New Customer","ACH Pull",6,0,6750.33,2012-11-01
2012-11-01,1,9,31096.59,50000,667,"Direct","Loan - New Customer","ACH Pull",6,0,11155.61,2012-10-31
2012-11-01,20,36,3325.54,10000,555,"FAP: Managed Application Program","Loan - New Customer","ACH Pull",6,1783.14,1699.81,2012-10-05
2012-11-01,61,80,22600.29,25000,710,"Direct","Loan - New Customer","ACH Pull",6,0,33252.59,2012-07-26
2012-11-01,33,52,8935.8,15000,650,"FAP: Managed Application Program","Loan - New Customer","ACH Pull",6,2072.44,5565.73,2012-10-31
2012-11-01,31,47,28370.73,50000,682,"FAP: Managed Application Program","Loan - New Customer","ACH Pull",9,0,14105.92,2012-10-29
2012-11-01,38,38,11245.69,35000,709,"FAP: Managed Application Program","Loan - New Customer","ACH Pull",12,13786,2876.59,2012-11-01
2012-11-01,47,58,29061.08,50000,701,"FAP: Managed Application Program","Loan - New Customer","ACH Pull",18,0,9909.88,2012-11-01
2012-11-01,6,23,9510.7,25000,730,"Direct","Loan - New Customer","ACH Pull",6,0,7176.48,2012-10-31
2012-11-01,6,6,8455.12,15000,670,"FAP: Managed Application Program","Loan - New Customer","ACH Pull",6,0,6298.42,2012-11-01
2012-11-01,24,0,2523.97,15000,627,"Referral","Loan - Renewal","ACH Pull",6,0,9623.58,2012-11-01
2012-11-01,16,25,24147.98,35000,564,"FAP: Managed Application Program","Loan - New Customer","ACH Pull",6,0,7566.65,2012-10-30
2012-11-01,42,61,13526.35,15000,561,"Direct","Loan - New Customer","ACH Pull",6,0,42437.91,2012-09-04
2012-11-01,16,35,19748.58,50000,639,"FAP: Managed Application Program","Loan - New Customer","ACH Pull",18,17140.34,2498.79,2012-10-12
2012-11-01,10,18,12998.32,25000,572,"Direct","Loan - New Customer","ACH Pull",6,0,2142.33,2012-11-01
2012-11-01,22,33,19042.7,35000,774,"FAP: Managed Application Program","Loan - New Customer","Transfer Account Vendors",18,0,1867.58,2012-10-09
2012-11-01,3,3,2880.14,6000,634,"Direct","Loan - Renewal","ACH Pull",6,0,2539,2012-11-01
2012-11-01,54,60,10000,10000,677,"FAP: Managed Application Program","Loan - New Customer","ACH Pull",6,0,5797.39,2012-08-15
2012-11-01,18,37,35273.15,70000,711,"FAP: Managed Application Program","Loan - Renewal","ACH Pull",12,0,6595.3,2012-10-05
2012-11-01,63,82,16281.69,35000,573,"FAP: Managed Application Program","Loan - New Customer","ACH Pull",6,0,7057.45,2012-08-09
2012-11-01,13,21,98740.24,100000,712,"FAP: Managed Application Program","Loan - New Customer","Split Funding",12,0,7034.67,2012-11-01
2012-11-01,8,18,10157.51,12000,732,"FAP: Managed Application Program","Loan - Renewal","ACH Pull",12,0,5116.5,2012-10-22
2012-11-01,22,38,7993.29,20000,701,"FAP: Managed Application Program","Loan - New Customer","ACH Pull",6,0,4816.23,2012-10-29
2012-11-01,10,9,30258.25,35000,583,"FAP: Managed Application Program","Loan - New Customer","ACH Pull",6,17472.56,9435.39,2012-10-31
2012-11-01,5,6,5019.9,6000,564,"Direct","Loan - New Customer","ACH Pull",6,0,1490.42,2012-11-01
2012-11-01,9,28,9471.33,15000,613,"FAP: Managed Application Program","Loan - Renewal","ACH Pull",6,0,12182.94,2012-10-19
2012-11-01,20,39,9466.19,15000,641,"FAP: Managed Application Program","Loan - New Customer","ACH Pull",6,0,6993.69,2012-10-03
2012-11-01,63,82,20.62,20000,688,"FAP: Managed Application Program","Loan - New Customer","ACH Pull",6,0,28336.05,2012-04-24
2012-11-01,4,16,14916.78,15000,547,"FAP: Managed Application Program","Loan - New Customer","ACH Pull",6,0,4504.41,2012-10-30
2012-11-01,2,13,40000,40000,715,"FAP: Managed Application Program","Loan - New Customer","Split Funding",12,0,2778.58,2012-11-01
2012-11-01,1,1,9226.68,20000,654,"FAP: Managed Application Program","Loan - New Customer","Transfer Account Vendors",12,0,357.07,2012-11-01
2012-11-01,1,11,24288.55,35000,552,"Direct","Loan - New Customer","ACH Pull",6,14074.81,7875.26,2012-10-31
2012-11-01,6,6,10449.79,17500,634,"Direct","Loan - New Customer","ACH Pull",6,0,7772.53,2012-11-01
2012-11-01,41,0,0,35000,591,"FAP: Managed Application Program","Loan - New Customer","ACH Pull",6,0,15858.67,2012-04-16
2012-11-01,43,43,7353.19,13000,504,"FAP: Managed Application Program","Loan - New Customer","ACH Pull",6,2595,2547.1,2012-11-01
2012-11-01,3,3,75000,75000,655,"FAP: Managed Application Program","Loan - Renewal","ACH Pull",18,0,8201.17,2012-11-01
2012-11-01,53,72,4121.23,7500,557,"FAP: Managed Application Program","Loan - New Customer","ACH Pull",6,0,1210.09,2012-10-12
2012-11-01,22,30,27021.43,45000,631,"FAP: Managed Application Program","Loan - New Customer","ACH Pull",9,0,7804,2012-10-09
2012-11-01,94,113,9602.67,20000,540,"FAP: Managed Application Program","Loan - New Customer","ACH Pull",6,0,4568.53,2012-10-18
2012-11-01,21,21,25903.53,40000,678,"FAP: Managed Application Program","Loan - Renewal","ACH Pull",18,0,10465.38,2012-11-01
2012-11-01,8,7,15490.55,20000,614,"FAP: Managed Application Program","Loan - Renewal","ACH Pull",6,0,10513.62,2012-10-31
2012-11-01,8,27,35000,35000,772,"Referral","Loan - New Customer","ACH Pull",6,0,22086.5,2012-10-26
2012-11-01,1,5,9571.72,15000,679,"FAP: Managed Application Program","Loan - New Customer","ACH Pull",6,0,3363.08,2012-11-01
2012-11-01,9,17,15000,15000,734,"FAP: Managed Application Program","Loan - New Customer","Split Funding",6,6830.09,887.41,2012-10-31
2012-11-01,4,10,25000,25000,548,"FAP: Managed Application Program","Loan - Renewal","ACH Pull",6,0,3784.18,2012-10-26
2012-11-01,44,63,58258.86,75000,665,"FAP: Managed Application Program","Loan - New Customer","ACH Pull",15,21261,13833.32,2012-08-29
2012-11-01,41,60,6640.5,10000,633,"Direct","Loan - New Customer","ACH Pull",6,0,1296.09,2012-09-04
2012-11-01,36,55,26197.92,35000,592,"FAP: Managed Application Program","Loan - New Customer","ACH Pull",6,0,6518.37,2012-09-11
2012-11-01,5,5,16391.33,22000,591,"FAP: Managed Application Program","Loan - New Customer","ACH Pull",6,0,6561,2012-11-01
2012-11-01,9,9,15000,15000,591,"FAP: Managed Application Program","Loan - New Customer","ACH Pull",6,0,1028.12,2012-11-01
2012-11-01,45,0,0.6,15000,702,"FAP: Managed Application Program","Loan - New Customer","ACH Pull",6,0,5503.75,2012-04-06
2012-11-01,17,17,44611.19,60000,632,"FAP: Managed Application Program","Loan - New Customer","ACH Pull",18,0,9819.51,2012-11-01
2012-11-01,6,25,22674.84,35000,577,"Referral","Loan - New Customer","ACH Pull",6,0,24689.28,2012-10-24
2012-11-01,1,0,18578.05,30000,577,"Referral","Loan - Renewal","ACH Pull",6,0,6635,2012-11-01
2012-11-01,11,11,28914.05,40000,701,"Referral","Loan - New Customer","ACH Pull",15,0,5912.55,2012-11-01
2012-11-01,17,29,44067.16,60000,664,"FAP: Managed Application Program","Loan - New Customer","ACH Pull",15,0,4511.34,2012-10-18
2012-11-01,44,63,30000,30000,601,"FAP: Managed Application Program","Loan - Renewal","ACH Pull",6,0,2555.66,2012-08-30
2012-11-01,4,13,20000,20000,684,"FAP: Managed Application Program","Loan - New Customer","Split Funding",12,0,2975.26,2012-11-01
2012-11-01,3,0,6859.42,15000,689,"FAP: Managed Application Program","Loan - New Customer","ACH Pull",6,0,5850.64,2012-11-01
2012-11-01,61,80,21124.07,35000,687,"FAP: Managed Application Program","Loan - Renewal","ACH Pull",6,0,10590.9,2012-08-06
2012-11-01,9,9,1893.96,10000,542,"FAP: Managed Application Program","Loan - New Customer","ACH Pull",6,0,20517.33,2012-11-01
2012-11-01,35,54,51692.3,75000,675,"Direct","Loan - New Customer","ACH Pull",18,0,31458.9,2012-09-12
2012-11-01,67,71,68343.89,75000,724,"FAP: Managed Application Program","Loan - Renewal","ACH Pull",12,0,44089.03,2012-10-31
2012-11-01,1,0,70793.73,75000,620,"FAP: Managed Application Program","Loan - New Customer","ACH Pull",12,0,33887.75,2012-10-31
2012-11-01,1,0,25377.14,40000,629,"FAP: Managed Application Program","Loan - Renewal","ACH Pull",9,0,6871.84,2012-10-31
2012-11-01,59,78,53967.8,75000,767,"FAP: Managed Application Program","Loan - Renewal","ACH Pull",12,0,5670.75,2012-08-02
2012-11-01,32,39,42621.44,50000,651,"FAP: Managed Application Program","Loan - New Customer","Split Funding",9,16836,5749.95,2012-11-01
2012-11-01,1,0,1389.46,15000,634,"FAP: Managed Application Program","Loan - New Customer","ACH Pull",6,0,8396.57,2012-11-01
2012-11-01,12,31,23963.12,25000,547,"Direct","Loan - New Customer","ACH Pull",6,0,16651.15,2012-10-16
2012-11-01,5,5,49278.22,120000,767,"FAP: Managed Application Program","Loan - New Customer","ACH Pull",9,0,136102.09,2012-11-01
2012-11-01,10,26,16911.25,25000,692,"Referral","Loan - Renewal","ACH Pull",6,0,7066.81,2012-10-18
2012-11-01,4,7,12482.57,15000,647,"FAP: Managed Application Program","Loan - New Customer","ACH Pull",6,0,4366.08,2012-10-29
2012-11-01,61,74,28895.35,35000,731,"Referral","Loan - New Customer","ACH Pull",6,0,14898.74,2012-08-06
2012-11-01,5,17,5564.28,10000,607,"Referral","Loan - New Customer","ACH Pull",6,0,2643.54,2012-11-01
2012-11-01,94,113,46370.64,100000,806,"FAP: Managed Application Program","Loan - New Customer","ACH Pull",18,0,28214.33,2012-11-01
2012-11-01,1,0,8004.52,13500,702,"FAP: Managed Application Program","Loan - Renewal","ACH Pull",6,0,5801.35,2012-11-01
2012-11-01,53,72,50000,50000,652,"FAP: Managed Application Program","Loan - Renewal","ACH Pull",6,0,25829.93,2012-08-16
2012-11-01,13,13,9782.9,15000,645,"FAP: Managed Application Program","Loan - New Customer","ACH Pull",12,0,1309.08,2012-11-01
2012-11-01,38,41,12558.55,25000,532,"FAP: Managed Application Program","Loan - New Customer","ACH Pull",6,0,49458.34,2012-11-01
2012-11-01,3,3,6322.78,30000,690,"FAP: Managed Application Program","Loan - Renewal","ACH Pull",9,0,3307.33,2012-11-01
2012-11-01,8,27,75000,75000,734,"FAP: Managed Application Program","Loan - New Customer","Split Funding",18,0,5248.81,2012-10-22
2012-11-01,1,1,7037.48,15000,568,"Direct","Loan - New Customer","ACH Pull",6,0,3000.41,2012-11-01
2012-11-01,35,45,7766.92,10000,583,"FAP: Managed Application Program","Loan - New Customer","ACH Pull",6,0,1692.03,2012-11-01
2012-11-01,22,39,8621.09,15000,589,"FAP: Managed Application Program","Loan - New Customer","ACH Pull",6,0,5018.29,2012-10-17
2012-11-01,145,0,0,10000,669,"FAP: Managed Application Program","Loan - New Customer","ACH Pull",6,0,5914.6,2011-12-29
2012-11-01,21,40,17414.66,35000,628,"FAP: Managed Application Program","Loan - New Customer","ACH Pull",12,0,620.42,2012-10-01
2012-11-01,15,18,10000,10000,637,"FAP: Managed Application Program","Loan - New Customer","ACH Pull",6,0,2543.59,2012-10-29
2012-11-01,3,3,4222.36,6000,634,"Direct","Loan - New Customer","ACH Pull",6,0,2227,2012-11-01
2012-11-01,1,1,61886.78,75000,637,"FAP: Managed Application Program","Loan - New Customer","Transfer Account Vendors",18,0,5569.1,2012-11-01
2012-11-01,15,34,16626.89,25000,663,"FAP: Managed Application Program","Loan - New Customer","ACH Pull",6,0,16498,2012-10-11
2012-11-01,10,9,16277.48,20000,663,"Referral","Loan - Renewal","ACH Pull",6,0,4053.78,2012-11-01
2012-11-01,1,1,29222.66,35000,631,"FAP: Managed Application Program","Loan - New Customer","Transfer Account Vendors",18,0,3077.78,2012-11-01
2012-11-01,1,0,13743.7,20000,669,"FAP: Managed Application Program","Loan - New Customer","ACH Pull",6,0,10449.5,2012-10-31
2012-11-01,9,18,15000,15000,672,"FAP: Managed Application Program","Loan - New Customer","Split Funding",6,0,825.41,2012-10-31
2012-11-01,77,96,13463.1,15000,638,"FAP: Managed Application Program","Loan - New Customer","ACH Pull",6,0,3235.43,2012-07-16
2012-11-01,12,20,67984.06,75000,677,"FAP: Managed Application Program","Loan - Renewal","Split Funding",6,0,5314.83,2012-11-01
2012-11-01,16,16,40000,40000,689,"FAP: Managed Application Program","Loan - New Customer","ACH Pull",9,0,5528.42,2012-10-29
2012-11-01,52,62,16895.02,25000,632,"FAP: Managed Application Program","Loan - New Customer","ACH Pull",6,0,3599.25,2012-11-01
2012-11-01,19,32,27004.62,40000,670,"FAP: Managed Application Program","Loan - Renewal","ACH Pull",12,0,7999.95,2012-11-01
2012-11-01,24,43,38143.98,50000,617,"FAP: Managed Application Program","Loan - New Customer","ACH Pull",12,0,2527.46,2012-10-18
2012-11-01,19,19,14805.16,30000,624,"FAP: Managed Application Program","Loan - New Customer","Split Funding",6,3177.5,3277.92,2012-11-01
2012-11-01,11,30,6000,6000,577,"FAP: Managed Application Program","Loan - New Customer","ACH Pull",6,0,1117,2012-10-17
2012-11-01,52,71,9407.73,10000,627,"Direct","Loan - New Customer","ACH Pull",6,0,4807.83,2012-09-13
2012-11-01,10,10,8500.69,11000,572,"Direct","Loan - New Customer","ACH Pull",6,0,4597.63,2012-11-01
2012-11-01,43,62,5716.68,15000,631,"FAP: Managed Application Program","Loan - Renewal","ACH Pull",6,0,4838.58,2012-08-30
2012-11-01,13,32,18899.61,35000,601,"FAP: Managed Application Program","Loan - New Customer","ACH Pull",6,0,11594.39,2012-10-15
2012-11-01,1,1,20633.86,30000,677,"FAP: Managed Application Program","Loan - Renewal","Transfer Account Vendors",12,0,3681.45,2012-11-01
2012-11-01,31,47,125000,125000,690,"FAP: Managed Application Program","Loan - New Customer","Split Funding",12,38691.28,35748.25,2012-11-01
2012-11-01,34,0,8785.6,20000,549,"FAP: Managed Application Program","Loan - New Customer","ACH Pull",6,0,3236.74,2012-11-01
2012-11-01,18,37,32364.51,35000,605,"FAP: Managed Application Program","Loan - Renewal","ACH Pull",6,0,16347.3,2012-10-05
2012-11-01,63,82,48816.8,70000,694,"FAP: Managed Application Program","Loan - New Customer","ACH Pull",9,27226.17,3948.49,2012-07-23
2012-11-01,54,73,35000,35000,619,"FAP: Managed Application Program","Loan - New Customer","ACH Pull",6,15515,3261.81,2012-08-15
2012-11-01,41,51,48745.65,50000,644,"FAP: Managed Application Program","Loan - New Customer","Split Funding",12,0,2905.5,2012-11-01
2012-11-01,2,2,51070.39,75000,679,"FAP: Managed Application Program","Loan - New Customer","ACH Pull",18,0,6156.82,2012-11-01
2012-11-01,61,80,31127.4,50000,729,"FAP: Managed Application Program","Loan - Renewal","ACH Pull",12,0,26876.97,2012-08-02
2012-11-01,11,21,22163.58,25000,540,"FAP: Managed Application Program","Loan - Renewal","ACH Pull",6,16114.14,2879.72,2012-11-01
2012-11-01,14,19,10727.02,12000,557,"Direct","Loan - Renewal","ACH Pull",6,0,1848.94,2012-11-01
2012-11-01,22,41,34000,34000,535,"FAP: Managed Application Program","Loan - New Customer","ACH Pull",6,12564.65,3188.34,2012-10-01
2012-11-01,1,1,44686.84,50000,625,"FAP: Managed Application Program","Loan - New Customer","Transfer Account Vendors",18,0,4306.26,2012-11-01
2012-11-01,11,16,61862.85,75000,693,"Direct","Loan - Renewal","ACH Pull",12,0,16984.68,2012-10-17
2012-11-01,1,0,12648.42,13000,558,"FAP: Managed Application Program","Loan - Renewal","ACH Pull",6,0,3901.58,2012-10-31
2012-11-01,6,6,35000,35000,679,"FAP: Managed Application Program","Loan - New Customer","Split Funding",6,0,2337.03,2012-11-01
2012-11-01,11,26,20536.75,23000,639,"FAP: Managed Application Program","Loan - New Customer","ACH Pull",6,0,1792.45,2012-10-30
2012-11-01,3,3,54367.79,75000,673,"Promontory","Loan - Renewal","ACH Pull",12,0,8230.24,2012-10-30
2012-11-01,68,87,19389.64,20000,539,"FAP: Managed Application Program","Loan - New Customer","ACH Pull",6,8771,5435.44,2012-10-23
2012-11-01,39,58,15147.08,20000,663,"FAP: Managed Application Program","Loan - New Customer","Split Funding",6,0,3247.39,2012-08-27
2012-11-01,47,66,3312.65,6000,705,"FAP: Managed Application Program","Loan - New Customer","ACH Pull",6,0,1777.65,2012-10-05
2012-11-01,7,16,6469.95,10000,508,"FAP: Managed Application Program","Loan - New Customer","ACH Pull",6,0,2723.07,2012-11-01
2012-11-01,3,20,2228.07,16000,510,"FAP: Managed Application Program","Loan - New Customer","ACH Pull",6,0,2174.82,2012-11-01
2012-11-01,71,0,0,35000,602,"FAP: Managed Application Program","Loan - New Customer","ACH Pull",9,0,6363.82,2012-07-24
2012-11-01,6,16,10887.22,25000,594,"FAP: Managed Application Program","Loan - New Customer","ACH Pull",6,0,16907.65,2012-10-25
2012-11-01,38,38,1916.1,10000,524,"Referral","Loan - New Customer","ACH Pull",6,0,2335.09,2012-11-01
2012-11-01,48,67,32745.78,35000,563,"FAP: Managed Application Program","Loan - New Customer","ACH Pull",6,0,8364.55,2012-08-23
2012-11-01,180,0,470.93,30000,726,"FAP: Managed Application Program","Loan - New Customer","ACH Pull",6,7649.24,6320.35,2011-03-31
2012-11-01,33,52,33100.13,40000,649,"FAP: Managed Application Program","Loan - Renewal","ACH Pull",9,0,8140.68,2012-09-26
2012-11-01,20,39,8000,8000,570,"FAP: Managed Application Program","Loan - New Customer","ACH Pull",6,0,1859.26,2012-10-03
2012-11-01,1,1,23782.28,35000,623,"FAP: Managed Application Program","Loan - New Customer","Transfer Account Vendors",12,7565.2,4811.7,2012-11-01
2012-11-01,33,0,592.12,35000,542,"FAP: Managed Application Program","Loan - New Customer","ACH Pull",6,0,35532.77,2012-10-30
2012-11-01,7,14,28552.72,35000,633,"FAP: Managed Application Program","Loan - Renewal","ACH Pull",9,0,6981.58,2012-10-24
2012-11-01,27,46,18670.59,20000,580,"Referral","Loan - Renewal","ACH Pull",6,0,1241.65,2012-09-25
2012-11-01,25,44,9859.99,20000,647,"FAP: Managed Application Program","Loan - Renewal","ACH Pull",6,0,4372.72,2012-09-28
2012-11-01,33,52,21178.01,30000,694,"FAP: Managed Application Program","Loan - New Customer","ACH Pull",9,0,4449.9,2012-09-17
2012-11-01,9,18,12996.44,25000,639,"FAP: Managed Application Program","Loan - Renewal","ACH Pull",6,0,27087.17,2012-10-29
2012-11-01,11,0,2238.13,35000,628,"FAP: Managed Application Program","Loan - Renewal","ACH Pull",9,0,19819.93,2012-11-01
2012-11-01,29,0,28227.31,35000,536,"FAP: Managed Application Program","Loan - New Customer","ACH Pull",6,0,22253.31,2012-11-01
2012-11-01,19,15,10412.74,25000,653,"FAP: Managed Application Program","Loan - New Customer","Split Funding",6,7719.34,19903.59,2012-10-31
2012-11-01,61,80,11265.63,35000,694,"FAP: Managed Application Program","Loan - New Customer","ACH Pull",6,0,32231.14,2012-07-26
2012-11-01,24,0,1699.91,25000,805,"FAP: Managed Application Program","Loan - Renewal","ACH Pull",6,0,7150.44,2012-11-01
2012-11-01,49,65,50000,50000,648,"FAP: Managed Application Program","Loan - New Customer","Split Funding",12,0,2307.31,2012-11-01
2012-11-01,1,1,8384.18,15000,759,"Referral","Loan - New Customer","ACH Pull",9,0,10048.88,2012-11-01
2012-11-01,112,0,68500.32,135000,739,"FAP: Managed Application Program","Loan - Renewal","ACH Pull",12,0,35145.97,2012-11-01
2012-11-01,32,37,35532.66,40000,612,"FAP: Managed Application Program","Loan - New Customer","Split Funding",12,11149.7,6793.1,2012-11-01
2012-11-01,42,61,35000,35000,553,"FAP: Managed Application Program","Loan - Renewal","ACH Pull",6,0,12276.67,2012-08-31
2012-11-01,42,60,20000,20000,618,"FAP: Managed Application Program","Loan - Renewal","ACH Pull",6,0,7486.72,2012-11-01
2012-11-01,86,102,40000,40000,699,"FAP: Managed Application Program","Loan - Renewal","Split Funding",12,0,4606.33,2012-10-31
2012-11-01,21,40,6917.47,10000,583,"FAP: Managed Application Program","Loan - New Customer","ACH Pull",6,0,2646.86,2012-10-02
2012-11-01,61,80,22176.87,25000,527,"FAP: Managed Application Program","Loan - New Customer","ACH Pull",6,0,152541.83,2012-07-05
2012-11-01,4,23,75000,75000,612,"FAP: Managed Application Program","Loan - Renewal","ACH Pull",12,0,7352.35,2012-10-26
2012-11-01,2,3,15973.33,35000,658,"FAP: Managed Application Program","Loan - New Customer","ACH Pull",6,14016.33,17059.25,2012-11-01
2012-11-01,17,0,1280.86,25000,637,"FAP: Managed Application Program","Loan - New Customer","ACH Pull",12,0,14348.85,2012-11-01
2012-11-01,1,0,6312.8,50000,741,"FAP: Managed Application Program","Loan - New Customer","ACH Pull",6,0,98932.54,2012-10-31
2012-11-01,16,35,31675.91,40000,573,"FAP: Managed Application Program","Loan - Renewal","ACH Pull",6,0,8793.87,2012-10-26
2012-11-01,3,0,19041.65,20000,584,"FAP: Managed Application Program","Loan - New Customer","ACH Pull",6,0,1484.9,2012-11-01
2012-11-01,3,11,24758.09,25000,660,"FAP: Managed Application Program","Loan - New Customer","ACH Pull",6,11339.7,3443.54,2012-11-01
2012-11-01,4,14,14169.33,15000,570,"FAP: Managed Application Program","Loan - Renewal","Transfer Account Vendors",6,0,2233.5,2012-10-26
2012-11-01,56,75,10109.96,15000,577,"FAP: Managed Application Program","Loan - New Customer","ACH Pull",6,0,6614.05,2012-08-29
2012-11-01,2,2,5266.86,6000,646,"Direct","Loan - New Customer","ACH Pull",6,0,1226.23,2012-11-01
2012-11-01,3,10,41087.85,55000,677,"FAP: Managed Application Program","Loan - Renewal","ACH Pull",12,0,5371.67,2012-11-01
2012-11-01,55,74,26273.01,30000,700,"Direct","Loan - Renewal","ACH Pull",6,0,9405.13,2012-08-02
2012-11-01,1,0,1274.69,20000,672,"FAP: Managed Application Program","Loan - New Customer","ACH Pull",6,0,6183.47,2012-11-01
2012-11-01,68,85,9152.37,10000,666,"FAP: Managed Application Program","Loan - New Customer","Split Funding",6,0,755.19,2012-11-01
2012-11-01,6,6,40111.57,45000,674,"FAP: Managed Application Program","Loan - Renewal","ACH Pull",12,0,14290.69,2012-10-30
2012-11-01,55,64,41000,41000,723,"FAP: Managed Application Program","Loan - New Customer","Split Funding",12,0,13384.24,2012-11-01
2012-11-01,11,11,44764.05,55000,652,"FAP: Managed Application Program","Loan - Renewal","ACH Pull",18,0,11085.51,2012-11-01
2012-11-01,64,83,6854.64,15000,581,"Direct","Loan - New Customer","ACH Pull",6,0,3938.46,2012-10-29
2012-11-01,17,23,32426.04,35000,552,"FAP: Managed Application Program","Loan - New Customer","ACH Pull",6,0,9304.06,2012-10-09
2012-11-01,10,0,61.62,6000,618,"Referral","Loan - Renewal","ACH Pull",3,0,3091.44,2012-11-01
2012-11-01,27,46,25000,25000,672,"FAP: Managed Application Program","Loan - New Customer","ACH Pull",6,0,4403.53,2012-09-24
2012-11-01,6,21,23773.79,35000,641,"FAP: Managed Application Program","Loan - Renewal","ACH Pull",6,0,7619.87,2012-10-30
2012-11-01,9,24,40000,40000,610,"FAP: Managed Application Program","Loan - New Customer","Split Funding",9,17285.38,7419.72,2012-10-31
2012-11-01,1,3,7000,7000,709,"Referral","Loan - New Customer","ACH Pull",6,0,2523.45,2012-10-31
2012-11-01,13,32,21000,21000,570,"Referral","Loan - New Customer","ACH Pull",6,0,4705.97,2012-10-15
2012-11-01,1,4,28233.07,35000,614,"FAP: Managed Application Program","Loan - New Customer","ACH Pull",6,0,11304.94,2012-11-01
2012-11-01,3,5,13650.21,15000,523,"FAP: Managed Application Program","Loan - New Customer","ACH Pull",6,0,2942.76,2012-11-01
2012-11-01,54,60,3366.75,15000,522,"FAP: Managed Application Program","Loan - New Customer","ACH Pull",6,0,4255.52,2012-08-15
2012-11-01,10,17,29085.99,45000,614,"FAP: Managed Application Program","Loan - New Customer","Transfer Account Vendors",15,0,1993.63,2012-11-01
2012-11-01,9,28,13937.32,25000,634,"FAP: Managed Application Program","Loan - New Customer","ACH Pull",6,0,20863.89,2012-10-19
2012-11-01,9,9,23943.37,30000,734,"FAP: Managed Application Program","Loan - Renewal","ACH Pull",18,2298.56,3389.41,2012-11-01
2012-11-01,16,35,28496.41,35000,651,"Referral","Loan - Renewal","ACH Pull",9,0,14344.36,2012-10-22
2012-11-01,180,180,3.44,15000,680,"FAP: Managed Application Program","Loan - New Customer","ACH Pull",6,0,4727.77,2011-11-22
2012-11-01,8,8,11327.38,20000,637,"FAP: Managed Application Program","Loan - New Customer","ACH Pull",6,0,6331.58,2012-10-29
2012-11-01,6,12,6828.16,10000,698,"FAP: Managed Application Program","Loan - New Customer","Split Funding",12,0,1350.38,2012-11-01
2012-11-01,2,9,9217.27,18000,660,"FAP: Managed Application Program","Loan - New Customer","ACH Pull",6,0,4506.9,2012-10-31
2012-11-01,97,0,-0.15,20000,569,"FAP: Managed Application Program","Loan - Renewal","ACH Pull",6,0,12279.94,2012-06-14
2012-11-01,12,31,47705.36,75000,688,"FAP: Managed Application Program","Loan - New Customer","ACH Pull",18,0,11016.63,2012-10-17
2012-11-01,1,5,75000,75000,638,"FAP: Managed Application Program","Loan - New Customer","Transfer Account Vendors",12,0,30787.73,2012-11-01
2012-11-01,143,162,20030.13,35000,553,"FAP: Managed Application Program","Loan - New Customer","ACH Pull",9,0,5648.53,2012-10-03
