"as_of_date","days_delinquent_old","days_delinquent_new","new_outstanding_principal_balance","initial_loan_amount","fico","sales_channel__c","type","current_collection_method","term","lender_payoff","average_bank_balance__c","last_cleared_payment_date"
2012-11-01,7,13,4932.64,15000,597,"Direct","Loan - New Customer","ACH Pull",6,0,7056.35,2012-11-01
2012-11-01,2,18,5349.44,6000,612,"FAP: Managed Application Program","Loan - New Customer","ACH Pull",5,0,1123.34,2012-10-31
2012-11-01,7,21,20292.34,35000,691,"FAP: Managed Application Program","Loan - New Customer","ACH Pull",6,0,143727.37,2012-10-26
2012-11-01,52,53,29250.66,75000,688,"FAP: Managed Application Program","Loan - New Customer","ACH Pull",12,0,15578.94,2012-11-01
2012-11-01,31,50,7320.17,11500,549,"Direct","Loan - New Customer","ACH Pull",6,0,4241.14,2012-10-02
2012-11-01,2,19,3824.42,15000,658,"Direct","Loan - New Customer","ACH Pull",6,0,4627.3,2012-11-01
2012-11-01,12,27,16000,16000,557,"FAP: Managed Application Program","Loan - New Customer","ACH Pull",6,0,3810.52,2012-10-16
2012-11-01,30,42,7982.6,15000,535,"FAP: Managed Application Program","Loan - Renewal","ACH Pull",6,0,17811.53,2012-11-01
2012-11-01,2,6,4837.85,7000,577,"FAP: Managed Application Program","Loan - New Customer","ACH Pull",6,0,1505,2012-10-30
2012-11-01,30,49,11651.34,15000,519,"Referral","Loan - New Customer","ACH Pull",6,0,49554.72,2012-09-19
2012-11-01,25,44,52640.51,75000,688,"FAP: Managed Application Program","Loan - New Customer","ACH Pull",18,0,10547.89,2012-10-04
2012-11-01,77,83,10571.2,11000,549,"FAP: Managed Application Program","Loan - New Customer","ACH Pull",6,0,2462.98,2012-07-16
2012-11-01,10,10,30817.3,50000,667,"Direct","Loan - New Customer","ACH Pull",9,0,9453.81,2012-11-01
2012-11-01,1,16,2153.52,6000,662,"FAP: Managed Application Program","Loan - New Customer","ACH Pull",6,0,2191.28,2012-10-31
2012-11-01,13,13,26389.33,40000,682,"Direct","Loan - New Customer","ACH Pull",6,20780.05,22435.61,2012-11-01
2012-11-01,1,1,21022.07,28000,669,"FAP: Managed Application Program","Loan - New Customer","Transfer Account Vendors",12,0,4749.45,2012-11-01
2012-11-01,3,21,20716.57,30000,577,"FAP: Managed Application Program","Loan - New Customer","ACH Pull",6,0,27938.55,2012-10-29
2012-11-01,4,4,35358.92,40000,690,"FAP: Managed Application Program","Loan - New Customer","ACH Pull",18,2097.17,4973,2012-11-01
2012-11-01,2,0,723.72,10000,545,"FAP: Managed Application Program","Loan - New Customer","ACH Pull",6,0,2985.94,2012-11-01
2012-11-01,57,72,5063.35,15000,552,"Direct","Loan - New Customer","ACH Pull",6,0,1828.73,2012-10-24
2012-11-01,180,180,32045.05,50000,653,"Direct","Loan - Renewal","ACH Pull",12,0,4905.28,2012-11-01
2012-11-01,118,137,15475.89,35000,630,"Direct","Loan - Renewal","ACH Pull",6,0,6251.69,2012-10-16
2012-11-01,10,10,47978.14,90000,697,"FAP: Managed Application Program","Loan - New Customer","ACH Pull",12,0,63236.77,2012-11-01
2012-11-01,1,1,24805.64,35000,657,"FAP: Managed Application Program","Loan - Renewal","Transfer Account Vendors",12,0,2497.59,2012-11-01
2012-11-01,27,46,28571.74,35000,616,"FAP: Managed Application Program","Loan - New Customer","ACH Pull",6,0,8197.77,2012-09-27
2012-11-01,94,104,21632.91,50000,643,"Direct","Loan - New Customer","ACH Pull",12,15043.46,9515.22,2012-11-01
2012-11-01,12,31,17748.96,40000,715,"FAP: Managed Application Program","Loan - New Customer","ACH Pull",12,0,9631.05,2012-10-16
2012-11-01,3,3,5611.69,6000,583,"FAP: Managed Application Program","Loan - New Customer","ACH Pull",6,0,1476.45,2012-11-01
2012-11-01,1,9,32048.26,40000,613,"FAP: Managed Application Program","Loan - New Customer","ACH Pull",12,0,29451.67,2012-11-01
2012-11-01,4,4,17989.05,25000,721,"FAP: Managed Application Program","Loan - Renewal","ACH Pull",12,0,9092.33,2012-11-01
2012-11-01,38,0,345.2,35000,683,"FAP: Managed Application Program","Loan - New Customer","ACH Pull",9,0,12894.84,2012-11-01
2012-11-01,15,34,14141.42,25000,591,"FAP: Managed Application Program","Loan - New Customer","ACH Pull",6,0,20915,2012-10-11
2012-11-01,33,50,245.06,6000,693,"FAP: Managed Application Program","Loan - New Customer","ACH Pull",6,0,940.03,2012-11-01
2012-11-01,31,50,35000,35000,550,"FAP: Managed Application Program","Loan - New Customer","ACH Pull",6,0,14842.26,2012-09-18
2012-11-01,23,42,11709.43,25000,651,"FAP: Managed Application Program","Loan - New Customer","ACH Pull",18,0,20448,2012-10-03
2012-11-01,1,9,20000,20000,710,"FAP: Managed Application Program","Loan - New Customer","Split Funding",9,0,3937.9,2012-11-01
2012-11-01,27,41,32467.03,40000,787,"Direct","Loan - Renewal","ACH Pull",12,0,22730.59,2012-11-01
2012-11-01,5,3,9318.83,35000,674,"FAP: Managed Application Program","Loan - New Customer","ACH Pull",6,0,31161.28,2012-10-31
2012-11-01,2,2,18660.12,20000,681,"Referral","Loan - New Customer","ACH Pull",6,0,6662.44,2012-11-01
2012-11-01,41,60,35000,35000,617,"Direct","Loan - New Customer","ACH Pull",6,0,74879.24,2012-09-04
2012-11-01,1,2,4619.69,10000,684,"FAP: Managed Application Program","Loan - New Customer","ACH Pull",6,0,3073.68,2012-11-01
2012-11-01,14,33,35000,35000,583,"FAP: Managed Application Program","Loan - New Customer","ACH Pull",6,17095.54,3327.04,2012-10-15
2012-11-01,68,87,47384.35,75000,688,"FAP: Managed Application Program","Loan - New Customer","ACH Pull",18,0,47341.89,2012-08-06
2012-11-01,6,0,2530.71,20000,567,"FAP: Managed Application Program","Loan - Renewal","ACH Pull",6,0,3409.67,2012-11-01
2012-11-01,180,180,6403.08,50000,682,"FAP: Managed Application Program","Loan - New Customer","ACH Pull",12,0,6659.97,2012-10-25
2012-11-01,6,6,6921.68,15000,622,"FAP: Managed Application Program","Loan - New Customer","ACH Pull",6,544.38,2306.86,2012-11-01
2012-11-01,14,33,44394.61,50000,639,"Direct","Loan - New Customer","ACH Pull",6,0,27694.62,2012-10-18
2012-11-01,28,43,4942.3,6000,531,"Direct","Loan - New Customer","ACH Pull",6,0,1498,2012-10-31
2012-11-01,15,34,18541.54,20000,679,"FAP: Managed Application Program","Loan - Renewal","ACH Pull",6,0,2160.74,2012-10-11
2012-11-01,8,27,13854.81,20000,506,"FAP: Managed Application Program","Loan - Renewal","ACH Pull",6,0,1440.27,2012-10-25
2012-11-01,18,37,17000,17000,504,"FAP: Managed Application Program","Loan - New Customer","ACH Pull",6,0,5021.16,2012-10-19
2012-11-01,38,57,13204.74,30000,693,"FAP: Managed Application Program","Loan - Renewal","ACH Pull",18,0,2918.8,2012-09-10
2012-11-01,6,6,9942.24,25000,605,"FAP: Managed Application Program","Loan - New Customer","ACH Pull",12,0,7132.33,2012-11-01
2012-11-01,12,28,4197.64,35000,522,"FAP: Managed Application Program","Loan - Renewal","ACH Pull",6,0,42584.23,2012-10-18
2012-11-01,10,15,21935.4,30000,700,"FAP: Managed Application Program","Loan - Renewal","ACH Pull",6,0,8331.44,2012-11-01
2012-11-01,2,11,49627.86,75000,722,"FAP: Managed Application Program","Loan - New Customer","ACH Pull",18,0,23549.91,2012-10-30
2012-11-01,1,0,45329.03,75000,622,"Referral","Loan - New Customer","ACH Pull",9,0,111821.51,2012-11-01
2012-11-01,14,0,4122.94,35000,579,"FAP: Managed Application Program","Loan - New Customer","ACH Pull",6,0,10809.46,2012-11-01
2012-11-01,9,15,15000,15000,677,"FAP: Managed Application Program","Loan - Renewal","ACH Pull",6,0,2037.48,2012-10-19
2012-11-01,25,39,80000,80000,619,"FAP: Managed Application Program","Loan - Renewal","Split Funding",18,0,4646.58,2012-11-01
2012-11-01,1,0,6844.85,20000,589,"FAP: Managed Application Program","Loan - Renewal","ACH Pull",6,0,5901,2012-10-31
2012-11-01,3,3,22661.46,35000,614,"FAP: Managed Application Program","Loan - New Customer","ACH Pull",12,0,5383.36,2012-11-01
